CT,REG,COM,Nom,HApoly,Surfacesbois,Surfacescult,Alp,Airbat,Airind,P00BMTOT,P00BWTOT,Pop020,Pop2040,Pop4065,Pop65P,H00PTOT,H00P01,H00P02,H00P03,H00P04,POPTOT
1,4,121,Wetzikon (ZH),1678,295,710,0,235,64,8874,9255,4185,5388,5844,2712,7790,2765,2498,990,1537,18129
19,3,4045,Wettingen,1062,415,228,0,230,17,8738,9132,3436,5363,5866,3205,8520,3582,2731,947,1260,17870
25,1,6608,Carouge (GE),269,25,19,0,86,53,8401,9189,3772,6102,5354,2362,8121,3619,2180,1085,1237,17590
1,4,133,Horgen,2107,1053,585,0,188,24,8542,8890,3600,5226,5949,2657,7744,2742,2693,958,1351,17432
1,4,62,Kloten,1922,510,658,0,239,30,8767,8423,3297,5984,5755,2154,8160,3335,2733,931,1161,17190
20,5,4671,Kreuzlingen,1151,322,313,0,256,65,8244,8874,3758,5074,5564,2722,7643,3084,2329,933,1297,17118
17,5,3335,Jona,2046,678,821,0,250,46,8313,8634,4017,5001,5939,1990,6974,2027,2424,997,1526,16947
17,5,3443,Gossau (SG),2753,449,1729,0,233,74,8244,8561,4165,5007,5235,2398,6927,2251,2162,923,1591,16805
11,2,2581,Olten,1149,497,161,0,171,93,8063,8694,3094,5008,5037,3618,8069,3535,2651,839,1044,16757
13,3,2770,Muttenz,1664,679,272,0,239,136,8120,8534,3502,4113,5939,3100,7340,2440,2656,926,1318,16654
21,7,5002,Bellinzona,1915,1196,173,29,248,30,7701,8762,3170,4709,5432,3152,7294,2661,2171,1228,1234,16463
25,1,6631,Onex,285,54,30,0,126,0,7793,8626,3716,4854,5449,2400,7236,2740,2103,1040,1353,16419
17,5,3425,Wil (SG),762,106,244,0,215,45,7967,8425,3475,4915,5203,2799,7231,2829,2284,851,1267,16392
19,3,4021,Baden,1318,752,132,0,227,40,8149,8121,3211,5656,5191,2212,7544,3116,2376,891,1161,16270
22,1,5890,Vevey,239,14,10,0,120,8,7695,8507,3541,5207,4713,2741,7830,3667,2135,908,1120,16202
22,1,5724,Nyon,683,55,280,0,206,30,7702,8480,3747,5276,5183,1976,7307,2818,2165,1019,1305,16182
22,1,5590,Pully,585,152,121,0,207,1,7307,8727,3107,4066,5705,3156,7539,3013,2444,965,1117,16034
11,2,2546,Grenchen,2601,1053,872,139,266,45,7735,8203,3233,4118,5183,3404,7409,2910,2545,843,1111,15938
3,6,1060,Littau,1325,280,695,0,139,57,7881,8048,3962,4998,5098,1871,6636,2218,2002,905,1511,15929
15,5,3001,Herisau,2518,678,1428,0,212,36,7875,8007,3804,4487,5049,2542,6784,2540,2079,781,1384,15882
1,4,131,Adliswil,778,248,182,0,195,16,7838,7984,3193,4735,5464,2430,7436,2997,2453,889,1097,15822
1,4,141,Thalwil,549,131,99,0,193,16,7645,8160,2973,4697,5664,2471,7541,3082,2532,834,1093,15805
11,2,2601,Solothurn,626,17,160,0,233,26,7234,8255,2926,4512,4886,3165,7447,3468,2298,715,966,15489
19,3,4001,Aarau,892,302,56,0,278,37,7374,8096,2855,4718,4923,2974,7415,3283,2352,784,996,15470
2,2,363,Ostermundigen,594,150,203,0,151,17,7405,8047,3041,4619,5444,2348,7294,2918,2459,834,1083,15452
1,4,96,Regensdorf,1463,349,635,0,186,81,7786,7312,3280,5040,5176,1602,6406,2094,2219,898,1195,15098
13,3,2831,Pratteln,1070,298,307,0,159,120,7433,7471,3198,4302,5256,2148,6467,2261,2118,892,1196,14904
2,2,404,Burgdorf,1562,648,429,0,203,83,7099,7615,3119,4070,4707,2818,6637,2567,2236,742,1092,14714
21,7,5113,Locarno,1929,595,641,0,198,27,6678,7883,2929,4166,4730,2736,6730,2761,1939,1005,1025,14561
1,4,174,Illnau-Effretikon,2530,742,1318,0,202,22,7147,7344,2916,4598,5068,1909,6594,2394,2323,786,1091,14491
23,1,6136,Martigny,2497,992,783,1,189,103,6915,7446,3419,4288,4522,2132,6001,2211,1680,860,1250,14361
2,2,939,Steffisburg,1336,375,589,0,222,43,6758,7591,3081,4009,4644,2615,6280,2175,2250,755,1100,14349
23,1,6248,Sierre,1918,423,739,0,191,97,6852,7465,3156,3943,4918,2300,6016,2133,1808,924,1151,14317
22,1,5642,Morges,386,16,87,0,152,18,6664,7490,2940,4388,4408,2418,6628,2727,2065,824,1012,14154
2,2,329,Langenthal,1442,602,377,0,250,62,6739,7339,3154,3982,4457,2485,6188,2277,2018,740,1153,14078
1,4,199,Volketswil,1401,344,592,0,173,50,7092,6978,3333,4796,4893,1048,5910,1753,2134,862,1161,14070
1,4,53,Bulach,1612,634,535,0,200,50,6842,7157,3229,4295,4770,1705,5985,2006,1959,821,1199,13999
13,3,2765,Binningen,443,40,102,0,231,3,6664,7313,2510,3692,4950,2825,6829,2751,2431,771,876,13977
23,1,6153,Monthey,2864,1300,366,462,221,97,6705,7228,3359,4170,4509,1895,5949,2161,1717,875,1196,13933
5,6,1372,Schwyz,5325,2081,1702,765,214,41,6882,6920,3537,4144,4172,1949,5250,1582,1505,789,1374,13802
1,4,247,Schlieren,659,184,128,0,123,73,6719,6637,2685,4430,4147,2094,6159,2546,1916,763,934,13356
19,3,4082,Wohlen (AG),1251,349,494,0,224,48,6592,6737,3303,3862,4284,1880,5479,1772,1672,825,1210,13329
9,6,1702,Cham,1775,234,1127,0,160,44,6550,6609,3178,4243,4316,1422,5037,1588,1625,725,1099,13159
5,6,1322,Freienbach,1373,328,560,0,208,47,6612,6443,2963,4174,4432,1486,5470,1653,1926,758,1133,13055
13,3,2829,Liestal,1821,1077,326,0,205,51,6383,6547,2781,3932,4153,2064,5450,1935,1826,697,992,12930
20,5,4401,Arbon,594,32,223,0,165,59,6247,6659,3043,3643,4002,2218,5678,2062,1870,668,1078,12906
3,6,1058,Horw,1284,545,418,0,188,13,6200,6448,2568,3828,4190,2062,5426,1951,1888,652,935,12648
5,6,1301,Einsiedeln,9904,4411,3634,1034,271,32,6360,6262,3211,3628,3964,1819,5018,1649,1520,662,1187,12622
2,2,356,Muri bei Bern,763,163,221,0,247,15,6078,6493,2288,2725,4977,2581,5590,1989,2108,634,859,12571
1,4,154,Kusnacht (ZH),1237,398,428,0,285,3,5759,6725,2212,2964,4409,2899,5744,2215,2051,657,821,12484
25,1,6640,Thonex,380,22,99,0,176,8,5827,6314,3057,3156,4116,1812,5153,1868,1433,808,1044,12141
1,4,66,Opfikon,559,97,151,0,152,16,6121,5941,2238,4225,3984,1615,5851,2549,1884,656,762,12062
2,2,768,Spiez,1672,488,646,0,251,48,5792,6235,2663,3083,3960,2321,5230,1786,1916,622,906,12027
17,5,3408,Uzwil,1450,259,776,0,206,31,5952,6025,3246,3353,3755,1623,4619,1334,1448,601,1236,11977
1,4,69,Wallisellen,645,132,153,0,154,29,5933,6006,2281,3620,4064,1974,5398,1959,1927,672,840,11939
13,3,2769,Munchenstein,718,173,126,0,171,58,5639,6063,2440,3030,3888,2344,5218,1755,1938,634,891,11702
1,4,161,Zollikon,788,297,165,0,226,2,5347,6315,1931,2847,4047,2837,5584,2403,1886,554,741,11662
23,1,6002,Brig-Glis,3808,1783,288,207,155,51,5515,6075,2836,3353,3692,1709,4494,1361,1458,668,1007,11590
1,4,158,Stafa,858,163,395,0,194,12,5593,5974,2397,3037,4258,1875,5071,1761,1796,610,904,11567
1,4,156,Meilen,1195,293,559,0,211,13,5423,6057,2168,3143,4093,2076,5228,1863,1919,615,831,11480
18,5,3851,Davos,25440,5017,1106,8337,269,18,5503,5914,2537,3630,3805,1445,4909,2084,1415,611,799,11417
20,5,4461,Amriswil,1904,249,1287,0,206,40,5559,5798,3008,3283,3378,1688,4604,1593,1347,599,1065,11357
26,2,6711,Delemont,2198,954,691,148,202,55,5474,5879,2481,3189,3691,1992,5039,1883,1601,701,854,11353
3,6,1054,Ebikon,968,232,372,0,152,17,5501,5821,2940,3183,3840,1359,4476,1337,1393,625,1121,11322
10,2,2125,Bulle,1240,301,543,74,136,47,5267,5882,2812,3445,3253,1639,4564,1575,1349,663,977,11149
2,2,362,Ittigen,421,56,111,0,136,23,5390,5601,2168,3066,4135,1622,5100,1923,1798,594,785,10991
22,1,5589,Prilly,219,13,31,0,102,11,5181,5774,2032,3311,3458,2154,5437,2432,1645,667,693,10955
2,2,616,Munsingen,848,143,419,0,154,18,5269,5668,2503,2863,3886,1685,4473,1386,1599,581,907,10937
2,2,627,Worb,2110,443,1346,0,178,17,5290,5605,2456,2927,3992,1520,4605,1490,1584,610,921,10895
1,4,118,Ruti (ZH),1011,361,369,0,154,26,5330,5474,2571,3212,3430,1591,4614,1557,1566,548,943,10804
5,6,1331,Kussnacht am Rigi,2936,794,1489,205,189,41,5409,5295,2707,3168,3406,1423,4260,1387,1288,582,1003,10704
19,3,4258,Rheinfelden,1603,805,382,0,126,42,5188,5485,2378,3266,3504,1525,4953,2015,1543,570,825,10673
2,2,306,Lyss,1179,407,384,0,142,74,5231,5428,2536,3374,3439,1310,4588,1511,1502,647,928,10659
24,2,6436,Le Locle,2314,701,753,480,179,19,5082,5447,2369,2678,3299,2183,4713,1787,1568,565,793,10529
13,3,2766,Birsfelden,252,3,1,0,74,52,5077,5352,1724,3101,3450,2154,5136,2124,1840,549,623,10429
17,5,3271,Buchs (SG),1595,442,461,171,165,47,5121,5278,2464,3143,3303,1489,4490,1687,1354,588,861,10399
17,5,3251,Altstatten,3949,834,2227,274,230,63,5101,5280,2734,2951,3168,1528,4042,1323,1189,540,990,10381
1,4,138,Richterswil,751,57,413,0,157,16,4995,5359,2461,2817,3668,1408,4351,1417,1435,574,925,10354
1,4,2,Affoltern am Albis,1061,307,483,0,145,28,5083,5231,2602,3076,3365,1271,4144,1338,1372,521,913,10314
25,1,6644,Versoix,1050,418,316,0,202,8,4926,5383,2914,2785,3451,1159,3977,1282,1139,644,912,10309
19,3,4280,Oftringen,1285,452,494,0,184,38,5152,5153,2343,3055,3432,1475,4364,1392,1482,608,882,10305
22,1,5889,La Tour-de-Peilz,330,15,112,0,141,2,4670,5560,2093,2625,3450,2062,4870,2012,1525,597,736,10230
22,1,5635,Ecublens (VD),571,73,177,0,148,48,5156,5071,2320,3548,3309,1050,4439,1676,1241,692,830,10227
14,5,2937,Neuhausen am Rheinfall,802,413,117,0,117,34,4849,5110,2044,2624,3340,1951,4577,1813,1521,508,735,9959
25,1,6612,Chene-Bougeries,412,45,50,0,248,0,4487,5272,2209,2208,3434,1908,4025,1532,1157,526,810,9759
13,3,2761,Aesch (BL),739,115,354,0,120,40,4777,4958,2241,2791,3443,1260,4079,1188,1440,630,821,9735
22,1,5721,Gland,831,115,401,0,144,27,4712,4951,2716,3418,2923,606,3924,1208,1123,655,938,9663
2,2,546,Munchenbuchsee,882,244,413,0,109,28,4668,4941,2411,2876,3272,1050,3994,1250,1353,567,824,9609
5,6,1362,Arth,4208,1950,1135,584,151,24,4828,4765,2555,2870,2832,1336,3749,1156,1159,488,946,9593
1,4,177,Pfaffikon,1956,462,843,0,172,21,4729,4863,2256,2775,3172,1389,3890,1249,1276,518,847,9592
20,5,4946,Weinfelden,1549,348,797,0,180,60,4640,4816,2104,2732,2911,1709,4116,1544,1330,463,779,9456
2,2,361,Zollikofen,538,66,253,0,137,18,4706,4731,1975,2687,3104,1671,4150,1501,1478,482,689,9437
1,4,250,Urdorf,760,249,244,0,138,32,4675,4742,2043,2918,3151,1305,4218,1503,1475,500,740,9417
13,3,2771,Oberwil (BL),788,158,357,0,165,14,4531,4832,1922,2468,3485,1488,4067,1240,1542,575,710,9363
10,2,2228,Villars-sur-Glane,549,99,195,0,141,20,4600,4739,2407,3010,2902,1020,3644,1089,1079,587,889,9339
17,5,3402,Flawil,1147,260,609,0,154,31,4644,4676,2464,2723,2834,1299,3741,1198,1100,498,945,9320
2,2,861,Belp,1759,427,1000,0,140,20,4524,4669,2170,2561,3199,1263,3889,1246,1334,504,805,9193
1,4,117,Hinwil,2228,597,1204,0,175,64,4587,4570,2250,2577,3121,1209,3745,1128,1306,488,823,9157
2,2,902,Langnau im Emmental,4840,1997,2121,343,180,32,4414,4734,2245,2349,2800,1754,3487,1104,1105,433,845,9148
6,6,1407,Sarnen,7312,3722,1627,1298,183,34,4499,4646,2318,2583,2932,1312,3585,1117,1106,470,892,9145
19,3,4095,Brugg,554,169,72,0,126,49,4462,4681,2064,2515,3016,1548,3906,1456,1243,500,707,9143
19,3,4040,Spreitenbach,860,302,240,0,83,56,4608,4519,2271,3030,3087,739,3804,1261,1172,531,840,9127
25,1,6607,Bernex,1299,232,782,0,126,1,4447,4629,2203,2551,3176,1146,3335,912,1036,563,824,9076
20,5,4436,Romanshorn,876,212,362,0,150,41,4397,4679,2189,2370,2829,1688,3858,1364,1212,513,769,9076
2,2,360,Wohlen bei Bern,3632,1185,1991,0,183,6,4350,4602,2103,2042,3617,1190,3651,997,1335,516,803,8952
11,2,2534,Zuchwil,463,92,121,0,89,45,4390,4532,1957,2802,2845,1318,4018,1488,1316,528,686,8922
25,1,6645,Veyrier,650,97,243,0,205,3,4237,4655,2398,2257,2955,1282,3255,887,910,522,936,8892
9,6,1708,Steinhausen,504,76,254,0,82,21,4391,4410,2222,2930,2883,766,3438,922,1156,507,853,8801
1,4,115,Gossau (ZH),1827,261,1225,0,175,11,4329,4356,2301,2468,2964,952,3392,841,1224,467,860,8685
1,4,195,Maur,1476,397,780,0,182,4,4262,4415,1901,2400,3289,1087,3686,1096,1371,489,730,8677
19,3,4289,Zofingen,964,480,163,0,181,39,4188,4459,1656,2444,2760,1787,4029,1601,1376,437,615,8647
17,5,3215,Rorschach,177,3,13,0,82,17,4181,4466,1876,2575,2619,1577,4096,1848,1153,455,640,8647
13,3,2763,Arlesheim,694,372,76,0,145,36,4004,4624,1772,2143,3055,1658,3830,1354,1370,466,640,8628
4,6,1201,Altdorf (UR),1021,402,367,0,116,27,4072,4469,1940,2325,2684,1592,3537,1166,1176,462,733,8541
17,5,3204,Wittenbach,1221,254,714,0,138,19,4103,4383,2107,2357,2864,1158,3483,1076,1154,466,787,8486
19,3,4012,Suhr,1058,471,317,0,137,24,4030,4421,1908,2617,2569,1357,3600,1315,1127,484,674,8451
17,5,3213,Goldach,470,59,156,0,120,39,4123,4318,1964,2346,2738,1393,3603,1176,1190,483,754,8441
13,3,2775,Therwil,763,196,386,0,118,10,4165,4269,1885,2312,3027,1210,3555,1003,1297,548,707,8434
1,4,120,Wald (ZH),2523,843,1315,43,155,27,4104,4317,2204,2280,2572,1365,3295,1072,987,412,824,8421
1,4,155,Mannedorf,477,118,163,0,115,6,3948,4400,1658,2366,2840,1484,3715,1309,1366,446,594,8348
19,3,4254,Mohlin,1878,694,840,0,150,43,4132,4165,2018,2465,2739,1075,3412,973,1180,500,759,8297
22,1,5606,Lutry,846,174,393,0,162,3,3931,4339,1800,2001,3045,1424,3579,1251,1176,468,684,8270
17,5,3377,Wattwil,4395,1639,2195,115,178,33,4017,4248,2211,2210,2493,1351,3238,1049,955,413,821,8265
25,1,6623,Le Grand-Saconnex,436,12,121,0,134,6,3846,4268,1830,2265,2925,1094,3234,1154,986,495,599,8114
3,6,1103,Sursee,586,128,180,0,105,54,3809,4250,1908,2513,2509,1129,3288,1135,1002,424,727,8059
22,1,5401,Aigle,1636,627,575,0,117,87,3878,4077,2088,2182,2449,1236,3342,1158,982,516,686,7955
17,5,3392,Kirchberg (SG),4256,1314,2531,0,188,34,3934,3970,2383,2187,2240,1094,2792,709,796,391,896,7904
17,5,3293,Mels,13912,4078,1204,4732,157,37,3929,3908,2210,2338,2251,1038,2818,737,808,395,878,7837
3,6,1031,Hochdorf,963,98,653,0,96,41,3574,4187,2170,2242,2149,1200,2774,815,812,351,796,7761
1,4,56,Embrach,1270,573,440,0,113,26,3944,3800,1898,2405,2690,751,3044,910,995,443,696,7744
21,7,5250,Chiasso,533,265,65,0,98,9,3584,4136,1257,2186,2538,1739,3774,1634,1077,576,487,7720
2,2,700,Moutier,1960,1095,358,250,137,23,3732,3969,1749,2105,2450,1397,3444,1237,1177,430,600,7701
19,3,4034,Neuenhof,538,277,96,0,79,13,3767,3846,1634,2437,2655,887,3382,1219,1053,517,593,7613
11,2,2513,Biberist,1229,431,467,0,148,47,3687,3916,1688,2139,2422,1354,3238,1125,1093,411,609,7603
1,4,90,Niederhasli,1129,239,659,0,98,22,3847,3742,1965,2485,2589,550,3032,801,1042,439,750,7589
19,3,4201,Lenzburg,1136,566,261,0,132,52,3769,3799,1649,2236,2441,1242,3251,1220,1013,395,623,7568
19,3,4038,Obersiggenthal,839,365,299,0,114,3,3719,3842,1625,2187,2539,1210,3259,1106,1085,444,624,7561
22,1,5584,Epalinges,457,127,111,0,161,3,3595,3921,1791,2074,2662,989,3160,983,1018,468,691,7516
1,4,52,Bassersdorf,903,279,383,0,106,20,3741,3774,1761,2369,2530,855,3137,979,1049,446,663,7515
23,1,6007,Naters,10117,907,206,1468,114,8,3678,3837,1811,2013,2488,1203,3020,869,1013,449,689,7515
22,1,5624,Bussigny-pres-Lausanne,482,97,166,0,81,57,3782,3716,1980,2379,2474,665,3062,901,970,448,743,7498
17,5,3442,Gaiserwald,1265,384,631,0,144,4,3757,3738,2048,1988,2640,819,2955,805,961,405,784,7495
5,6,1364,Ingenbohl,1343,662,394,23,101,35,3385,4097,1724,2069,2325,1364,2831,892,905,435,599,7482
17,5,3238,Widnau,423,10,144,0,157,37,3743,3727,2031,2278,2272,889,2912,809,900,411,792,7470
1,4,192,Egg,1449,334,842,0,159,7,3592,3863,1775,1958,2806,916,3024,895,1022,404,703,7455
17,5,3254,Oberriet (SG),3453,893,1818,157,204,41,3792,3662,2060,2292,2174,928,2680,634,791,416,839,7454
17,5,3336,Rapperswil (SG),177,2,8,0,80,16,3630,3791,1377,2509,2195,1340,3615,1577,1144,417,477,7421
21,7,5005,Giubiasco,623,132,258,0,121,36,3545,3873,1526,2147,2455,1290,3273,1147,950,587,589,7418
21,7,5215,Pregassona,223,94,16,0,79,7,3549,3805,1602,2417,2431,904,3211,1091,947,559,614,7354
20,5,4551,Aadorf,1997,568,1109,0,162,22,3667,3634,1944,2044,2450,863,2933,901,922,401,709,7301
22,1,5822,Payerne,2419,353,1613,0,145,42,3475,3819,1724,2089,2261,1220,3271,1221,973,472,605,7294
19,3,4141,Reinach (AG),948,257,442,0,146,32,3551,3707,1846,2016,2279,1117,2964,936,934,424,670,7258
1,4,153,Hombrechtikon,1220,180,738,0,149,10,3547,3699,1851,1924,2478,993,2902,869,941,414,678,7246
9,6,1707,Risch,1485,228,905,0,102,31,3783,3458,1868,2521,2294,558,2791,816,846,417,712,7241
18,5,3942,Igis,1088,332,483,0,100,44,3592,3636,2001,2019,2319,889,2904,916,865,400,723,7228
25,1,6613,Chene-Bourg,129,11,15,0,71,1,3411,3810,1686,2174,2397,964,3248,1290,937,470,551,7221
1,4,135,Kilchberg (ZH),257,5,68,0,127,5,3395,3802,1239,1882,2649,1427,3444,1439,1204,354,447,7197
10,2,2206,Marly,770,221,290,0,113,29,3543,3641,1803,2219,2406,756,2801,808,869,448,676,7184
9,6,1709,Unterageri,2559,1389,920,29,111,7,3537,3642,1744,2075,2400,960,2919,971,919,372,657,7179
5,6,1346,Schubelbach,2901,1244,970,431,107,12,3559,3471,2040,2146,2158,686,2653,768,724,375,786,7030
9,6,1703,Hunenberg,1843,313,1166,0,128,14,3553,3434,1821,2115,2522,529,2631,645,863,405,718,6987
7,6,1509,Stans,1109,406,451,34,86,41,3405,3578,1668,2080,2245,990,2816,920,917,354,625,6983
2,2,843,Saanen,11974,4021,1906,4423,275,18,3409,3505,1679,2140,2031,1064,2660,1006,782,325,547,6914
19,3,4282,Rothrist,1184,387,445,0,160,49,3430,3439,1618,1839,2381,1031,2748,778,926,411,633,6869
25,1,6633,Plan-les-Ouates,591,32,324,0,128,30,3369,3435,1903,1867,2314,720,2563,641,752,460,710,6804
2,2,743,Nidau,152,3,1,0,68,13,3171,3627,1217,1778,2307,1496,3341,1382,1192,380,387,6798
26,2,6800,Porrentruy,1476,612,563,0,155,22,3299,3454,1483,1855,2165,1250,3022,1261,904,379,478,6753
19,3,4010,Oberentfelden,713,303,211,0,113,21,3283,3457,1577,2027,2251,885,2805,876,974,360,595,6740
10,2,2293,Dudingen,3078,409,2102,0,153,28,3359,3353,1600,2048,2266,798,2597,685,816,440,656,6712
2,2,563,Frutigen,7175,1842,1254,2637,157,16,3247,3414,1887,1777,1970,1027,2527,756,743,344,684,6661
19,3,4123,Windisch,490,120,125,0,98,22,3269,3381,1511,1882,2096,1161,2726,944,876,347,559,6650
1,4,136,Langnau am Albis,869,421,240,0,102,2,3259,3336,1369,1755,2503,968,2883,935,1061,354,533,6595
22,1,5583,Crissier,550,147,160,0,80,67,3316,3261,1689,2282,2005,601,2574,752,774,446,602,6577
1,4,227,Seuzach,757,185,337,0,121,12,3279,3279,1448,1925,2216,969,2694,702,1047,385,560,6558
23,1,6297,Visp,1317,788,224,0,70,90,3200,3350,1532,1891,2143,984,2536,721,830,377,608,6550
19,3,4236,Muri (AG),1230,263,731,0,124,30,3293,3252,1606,1947,2089,903,2436,728,760,336,612,6545
23,1,6031,Bagnes,28225,3541,559,3814,258,6,3314,3222,1449,2076,1995,1016,2469,831,679,391,568,6536
17,5,3216,Rorschacherberg,711,188,329,0,104,6,3121,3362,1619,1638,2197,1029,2731,941,860,355,575,6483
21,7,5118,Minusio,585,311,33,30,137,1,2940,3488,1126,1623,2278,1401,3080,1244,983,445,408,6428
1,4,193,Fallanden,640,190,262,0,106,8,3180,3243,1367,1787,2557,712,2804,875,1004,405,520,6423
17,5,3231,Au (SG),468,20,198,0,122,31,3184,3225,1542,1895,2095,877,2677,879,816,416,566,6409
18,5,3722,Domat/Ems,2422,1304,390,281,88,50,3169,3203,1501,1796,2252,823,2639,809,860,375,595,6372
20,5,4761,Sirnach,1243,308,670,0,117,10,3168,3191,1741,1793,2014,811,2475,760,740,345,630,6359
25,1,6616,Collonge-Bellerive,613,41,254,0,259,7,3089,3255,1698,1515,2206,925,2247,523,670,389,665,6344
17,5,3273,Grabs,5464,1760,1443,1292,161,19,3164,3133,1691,1677,2046,883,2373,671,706,376,620,6297
21,7,5234,Viganello,118,28,4,0,63,6,2887,3397,1118,1884,2089,1193,3026,1225,964,434,403,6284
1,4,54,Dietlikon,426,131,101,0,90,30,3077,3204,1285,1871,2232,893,2776,983,954,371,468,6281
5,6,1344,Lachen,242,14,64,0,79,17,3080,3192,1293,1950,2055,974,2783,1039,865,370,509,6272
19,3,4271,Aarburg,442,145,108,0,100,19,3056,3207,1528,1912,1910,913,2577,770,846,399,562,6263
3,6,1098,Ruswil,4520,949,3294,0,144,16,3208,3054,1885,1954,1653,770,2136,529,566,293,748,6262
23,1,6023,Conthey,8497,2076,644,1445,180,38,3134,3127,1513,1673,2147,928,2528,708,815,405,600,6261
22,1,5409,Ollon,5959,2664,1398,1096,303,7,3127,3130,1920,1461,1944,932,2399,839,740,331,489,6257
3,6,1040,Rothenburg,1557,257,1052,0,91,39,3142,3097,1694,1836,2073,636,2330,555,734,352,689,6239
